Image Name,MH,LR,FJ,BC,RS,SS,NSV,OCS,OCCS,SCBS,SBSC
001.jpg,0,0,1,1,0,0,0,0,1,0,0
002.jpg,0,0,1,1,1,0,0,1,0,0,0
003.jpg,0,0,0,1,0,0,0,1,0,0,0
004.jpg,0,0,1,1,0,0,0,0,1,0,0
005.jpg,0,0,0,1,1,0,0,0,1,0,0
006.jpg,0,0,1,0,1,0,0,0,1,0,0
007.jpg,0,0,0,1,0,0,0,1,0,0,0
008.jpg,0,0,0,1,1,0,0,0,1,0,0
009.jpg,0,0,0,1,0,0,0,0,1,0,0
010.jpg,0,0,1,0,1,0,0,0,0,0,1
011.jpg,0,0,0,1,1,0,0,1,0,0,0
012.jpg,0,0,0,1,1,0,0,1,0,0,0
013.jpg,0,0,0,1,1,0,0,0,1,0,0
014.jpg,0,0,0,1,1,0,0,1,0,0,0
015.jpg,0,0,1,1,1,0,0,1,0,0,0
016.jpg,0,0,0,1,0,0,0,1,0,0,0
017.jpg,0,0,1,0,1,0,0,1,0,0,0
018.jpg,0,0,0,1,1,0,0,0,1,0,0
019.jpg,0,1,0,1,0,0,0,1,0,0,0
020.jpg,0,0,0,1,0,0,0,1,0,0,0
021.jpg,1,0,1,0,1,0,0,0,1,0,0
022.jpg,0,0,0,1,1,0,0,1,0,0,0
023.jpg,0,0,1,1,1,0,0,1,0,0,0
024.jpg,0,1,1,0,0,0,0,1,0,0,0
025.jpg,1,0,0,1,1,0,0,1,0,0,0
026.jpg,0,0,0,1,1,0,0,0,1,0,0
027.jpg,0,0,0,1,1,0,0,1,0,0,0
028.jpg,1,0,1,0,1,0,0,0,1,0,0
029.jpg,0,0,0,1,0,0,0,1,0,0,0
030.jpg,0,0,0,1,0,0,0,1,0,0,0
031.jpg,1,0,1,0,1,0,0,0,1,0,0
032.jpg,0,1,0,0,0,0,0,0,1,0,0
033.jpg,0,0,0,1,0,0,0,1,0,0,0
034.jpg,0,0,0,1,1,0,0,0,1,0,0
035.jpg,0,1,1,0,0,0,0,1,0,0,0
036.jpg,0,0,0,0,1,0,0,1,0,0,0
037.jpg,0,0,1,1,1,0,0,1,0,0,0
038.jpg,0,1,1,1,0,0,0,0,1,0,0
039.jpg,0,0,1,0,1,0,0,1,0,0,0
040.jpg,0,0,0,1,1,0,0,1,0,0,0
041.jpg,0,0,1,0,1,0,0,1,0,0,0
042.jpg,0,1,1,1,0,0,0,1,0,0,0
043.jpg,0,0,1,1,0,0,0,1,0,0,0
044.jpg,0,0,0,1,0,0,0,1,0,0,0
045.jpg,0,0,1,1,0,0,0,1,0,0,0
046.jpg,0,1,1,1,0,0,0,0,0,0,1
047.jpg,0,0,1,1,0,0,0,0,0,1,0
048.jpg,0,0,0,0,1,0,0,1,0,0,0
049.jpg,0,0,0,1,1,0,0,1,0,0,0
050.jpg,0,1,1,1,0,0,0,0,1,0,0
051.jpg,0,0,0,0,1,0,0,0,1,0,0
052.jpg,0,0,1,0,1,0,0,1,0,0,0
053.jpg,0,0,0,0,1,0,0,0,0,0,1
054.jpg,0,0,0,1,1,0,0,1,0,0,0
055.jpg,1,1,1,0,0,0,0,0,1,0,0
056.jpg,0,0,0,1,1,0,0,0,1,0,0
057.jpg,0,0,0,0,1,0,0,0,1,0,0
058.jpg,0,0,0,1,1,0,0,0,1,0,0
059.jpg,0,0,0,1,1,0,0,0,1,0,0
060.jpg,0,0,1,0,1,0,1,0,0,0,0
061.jpg,0,0,0,1,0,0,0,1,0,0,0
062.jpg,0,0,0,1,1,0,0,0,1,0,0
063.jpg,0,0,1,0,0,0,0,0,0,1,0
064.jpg,0,0,0,1,1,0,0,0,1,0,0
065.jpg,0,0,1,0,1,0,0,0,1,0,0
066.jpg,0,0,0,0,1,0,0,0,1,0,0
067.jpg,0,0,0,1,1,0,0,1,0,0,0
068.jpg,0,0,1,1,0,0,0,0,0,0,1
069.jpg,0,0,1,1,0,0,0,1,0,0,0
070.jpg,0,1,0,1,0,0,0,1,0,0,0
071.jpg,0,0,1,1,0,0,0,0,1,0,0
072.jpg,0,0,0,1,0,0,0,1,0,0,0
073.jpg,0,0,0,1,0,0,0,0,1,0,0
074.jpg,0,0,0,1,0,0,0,1,0,0,0
075.jpg,0,0,1,1,0,0,0,1,0,0,0
076.jpg,0,0,1,1,0,0,0,0,1,0,0
